Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.735,0.6,0.22,WW6,MW5,0.44,0.6,Age2
M,0.765,0.6,0.22,WW5,MW4,0.509,0.6205,Age2
I,0.185,0.13,0.045,WW1,MW1,0.0075,0.0095,Age1
I,0.195,0.15,0.045,WW1,MW1,0.006,0.011,Age1
I,0.195,0.135,0.04,WW1,MW1,0.005,0.0095,Age1
I,0.2,0.155,0.04,WW1,MW1,0.009,0.007,Age1
I,0.225,0.165,0.055,WW1,MW1,0.0125,0.015,Age1
I,0.245,0.18,0.065,WW1,MW1,0.013,0.0215,Age1
I,0.25,0.18,0.065,WW1,MW1,0.0155,0.0225,Age2
I,0.265,0.195,0.055,WW1,MW1,0.0175,0.025,Age2
I,0.275,0.195,0.065,WW1,MW1,0.02,0.028,Age2
I,0.28,0.21,0.085,WW1,MW1,0.024,0.034,Age2
I,0.285,0.22,0.065,WW1,MW1,0.0205,0.03,Age2
I,0.3,0.22,0.08,WW1,MW1,0.0265,0.039,Age2
I,0.315,0.235,0.055,WW1,MW1,0.027,0.039,Age2
I,0.32,0.225,0.085,WW1,MW1,0.0295,0.0405,Age2
I,0.34,0.265,0.08,WW1,MW1,0.0475,0.055,Age2
I,0.37,0.28,0.1,WW1,MW1,0.0265,0.0635,Age2
I,0.375,0.28,0.08,WW1,MW1,0.0455,0.067,Age2
I,0.375,0.275,0.1,WW1,MW1,0.042,0.065,Age2
I,0.385,0.29,0.08,WW1,MW1,0.0495,0.065,Age2
I,0.4,0.32,0.095,WW2,MW1,0.053,0.087,Age2
I,0.405,0.3,0.11,WW2,MW1,0.044,0.093,Age2
I,0.41,0.3,0.1,WW1,MW1,0.057,0.0875,Age2
I,0.41,0.325,0.1,WW2,MW1,0.072,0.106,Age2
I,0.42,0.3,0.105,WW2,MW1,0.07,0.1035,Age2
I,0.42,0.32,0.11,WW2,MW1,0.0635,0.105,Age2
I,0.42,0.31,0.095,WW1,MW1,0.051,0.088,Age2
I,0.425,0.325,0.115,WW2,MW1,0.0865,0.1045,Age2
M,0.43,0.335,0.12,WW2,MW1,0.0865,0.1035,Age2
I,0.435,0.33,0.11,WW2,MW1,0.096,0.096,Age2
I,0.435,0.345,0.115,WW2,MW1,0.0735,0.106,Age2
I,0.44,0.33,0.11,WW2,MW1,0.084,0.12,Age2
I,0.445,0.345,0.105,WW2,MW1,0.1015,0.117,Age2
I,0.445,0.34,0.145,WW2,MW1,0.0905,0.13,Age2
I,0.445,0.335,0.11,WW2,MW1,0.0935,0.109,Age2
I,0.45,0.365,0.125,WW2,MW1,0.0985,0.1315,Age2
I,0.45,0.34,0.12,WW2,MW2,0.1075,0.12,Age2
I,0.45,0.33,0.105,WW2,MW1,0.0785,0.0975,Age2
I,0.45,0.33,0.1,WW2,MW1,0.1,0.098,Age2
I,0.45,0.33,0.11,WW2,MW1,0.0885,0.102,Age2
I,0.46,0.35,0.115,WW2,MW1,0.098,0.1175,Age2
M,0.47,0.36,0.105,WW2,MW2,0.1395,0.129,Age2
I,0.47,0.38,0.125,WW2,MW1,0.1075,0.142,Age2
I,0.475,0.35,0.11,WW2,MW1,0.099,0.13,Age2
I,0.475,0.35,0.1,WW2,MW1,0.111,0.115,Age2
I,0.48,0.38,0.125,WW2,MW2,0.1085,0.1665,Age2
M,0.49,0.465,0.125,WW2,MW2,0.13,0.141,Age2
I,0.5,0.375,0.14,WW2,MW2,0.112,0.1585,Age2
I,0.5,0.375,0.12,WW2,MW1,0.116,0.17,Age2
I,0.5,0.38,0.125,WW2,MW2,0.1135,0.134,Age2
M,0.5,0.39,0.125,WW2,MW2,0.117,0.131,Age2
F,0.505,0.39,0.125,WW2,MW2,0.15,0.1405,Age2
I,0.51,0.405,0.125,WW2,MW2,0.1395,0.182,Age2
F,0.51,0.4,0.125,WW2,MW2,0.115,0.1385,Age2
I,0.51,0.4,0.125,WW2,MW2,0.1195,0.1525,Age2
I,0.51,0.38,0.115,WW2,MW1,0.1135,0.166,Age2
I,0.515,0.385,0.125,WW2,MW2,0.1265,0.15,Age2
M,0.52,0.4,0.145,WW3,MW2,0.1845,0.185,Age2
I,0.52,0.38,0.135,WW2,MW2,0.133,0.157,Age2
I,0.52,0.38,0.125,WW2,MW2,0.1295,0.167,Age2
F,0.52,0.46,0.15,WW3,MW3,0.1985,0.254,Age2
I,0.525,0.4,0.13,WW2,MW2,0.1245,0.17,Age2
I,0.525,0.4,0.14,WW2,MW2,0.1285,0.1835,Age2
M,0.525,0.405,0.12,WW3,MW2,0.1555,0.201,Age2
I,0.525,0.395,0.12,WW2,MW2,0.1395,0.1405,Age2
I,0.53,0.4,0.125,WW2,MW2,0.127,0.19,Age2
I,0.535,0.39,0.125,WW2,MW2,0.149,0.169,Age2
I,0.54,0.42,0.14,WW2,MW2,0.138,0.1895,Age2
M,0.545,0.39,0.135,WW3,MW2,0.1815,0.156,Age2
M,0.545,0.41,0.12,WW3,MW2,0.1405,0.19,Age2
M,0.545,0.415,0.14,WW3,MW2,0.127,0.218,Age2
F,0.55,0.415,0.135,WW3,MW2,0.1855,0.175,Age2
F,0.55,0.43,0.15,WW3,MW2,0.195,0.223,Age2
M,0.55,0.425,0.15,WW3,MW2,0.1765,0.2165,Age2
M,0.56,0.43,0.145,WW3,MW2,0.1775,0.234,Age2
M,0.56,0.445,0.16,WW3,MW2,0.2175,0.2215,Age2
F,0.56,0.44,0.155,WW2,MW2,0.1765,0.245,Age2
M,0.56,0.415,0.145,WW3,MW2,0.1885,0.205,Age2
M,0.565,0.455,0.15,WW3,MW2,0.2395,0.23,Age2
M,0.565,0.435,0.15,WW3,MW3,0.1825,0.206,Age2
F,0.565,0.45,0.175,WW3,MW2,0.2375,0.2645,Age2
M,0.57,0.46,0.15,WW3,MW3,0.2035,0.25,Age2
F,0.57,0.445,0.145,WW3,MW2,0.217,0.22,Age2
I,0.57,0.44,0.15,WW3,MW2,0.16,0.224,Age2
F,0.575,0.46,0.145,WW3,MW2,0.229,0.265,Age2
F,0.575,0.45,0.16,WW3,MW3,0.214,0.2575,Age2
M,0.575,0.435,0.14,WW3,MW2,0.191,0.222,Age2
F,0.575,0.47,0.165,WW3,MW2,0.197,0.238,Age2
M,0.575,0.455,0.135,WW3,MW2,0.197,0.26,Age2
I,0.575,0.435,0.13,WW3,MW2,0.2155,0.245,Age2
M,0.575,0.445,0.17,WW3,MW3,0.2175,0.228,Age2
M,0.575,0.445,0.145,WW3,MW2,0.1945,0.22,Age2
M,0.58,0.455,0.15,WW3,MW2,0.2155,0.265,Age2
M,0.58,0.455,0.195,WW4,MW4,0.426,0.441,Age2
M,0.58,0.445,0.135,WW3,MW2,0.1915,0.22,Age2
M,0.58,0.45,0.14,WW3,MW2,0.1815,0.253,Age2
M,0.58,0.45,0.145,WW3,MW3,0.1975,0.2295,Age2
F,0.58,0.45,0.155,WW3,MW2,0.246,0.265,Age2
M,0.585,0.46,0.145,WW3,MW2,0.1825,0.235,Age2
M,0.585,0.465,0.16,WW3,MW2,0.236,0.265,Age2
M,0.59,0.47,0.15,WW3,MW2,0.232,0.24,Age2
F,0.6,0.475,0.16,WW3,MW2,0.2495,0.2565,Age2
M,0.6,0.455,0.17,WW3,MW3,0.2395,0.24,Age2
F,0.6,0.465,0.15,WW3,MW3,0.262,0.25,Age2
M,0.6,0.465,0.155,WW3,MW3,0.2465,0.225,Age2
F,0.605,0.47,0.165,WW3,MW3,0.2275,0.292,Age2
M,0.605,0.475,0.14,WW3,MW3,0.257,0.274,Age2
M,0.605,0.48,0.17,WW3,MW3,0.2365,0.317,Age2
F,0.605,0.475,0.165,WW3,MW2,0.2195,0.357,Age2
M,0.61,0.485,0.16,WW3,MW3,0.212,0.2415,Age2
M,0.61,0.485,0.145,WW3,MW3,0.2255,0.2865,Age2
M,0.61,0.47,0.165,WW3,MW2,0.242,0.267,Age2
M,0.615,0.46,0.17,WW3,MW2,0.272,0.27,Age2
F,0.615,0.465,0.15,WW3,MW2,0.1825,0.2415,Age2
F,0.615,0.475,0.155,WW3,MW2,0.25,0.285,Age2
M,0.62,0.47,0.135,WW3,MW3,0.2005,0.2475,Age2
M,0.62,0.45,0.2,WW3,MW2,0.1525,0.2405,Age2
F,0.62,0.48,0.16,WW3,MW3,0.2445,0.281,Age2
F,0.625,0.485,0.175,WW3,MW3,0.2715,0.332,Age2
M,0.625,0.48,0.185,WW3,MW3,0.29,0.286,Age2
M,0.63,0.47,0.155,WW3,MW3,0.211,0.287,Age2
M,0.63,0.5,0.175,WW3,MW3,0.3065,0.3425,Age2
F,0.635,0.495,0.015,WW3,MW3,0.308,0.2885,Age2
M,0.64,0.515,0.165,WW3,MW3,0.3415,0.358,Age2
M,0.645,0.53,0.195,WW3,MW3,0.2945,0.3735,Age2
F,0.645,0.48,0.17,WW3,MW3,0.254,0.305,Age2
F,0.65,0.5,0.19,WW4,MW3,0.339,0.4245,Age2
M,0.65,0.5,0.155,WW3,MW3,0.3135,0.294,Age2
M,0.655,0.515,0.16,WW3,MW3,0.369,0.345,Age2
F,0.655,0.51,0.175,WW3,MW3,0.3725,0.364,Age2
F,0.66,0.53,0.185,WW3,MW3,0.2705,0.476,Age2
M,0.665,0.525,0.16,WW3,MW3,0.279,0.34,Age2
I,0.665,0.5,0.17,WW3,MW3,0.291,0.3595,Age2
F,0.67,0.505,0.205,WW3,MW3,0.3025,0.353,Age2
F,0.685,0.54,0.215,WW4,MW3,0.3655,0.4735,Age3
M,0.685,0.52,0.165,WW4,MW3,0.3685,0.4,Age2
F,0.69,0.54,0.155,WW4,MW3,0.3105,0.39,Age2
M,0.69,0.53,0.21,WW4,MW3,0.405,0.3865,Age2
F,0.69,0.53,0.17,WW4,MW4,0.3485,0.3695,Age2
M,0.695,0.56,0.185,WW4,MW4,0.3715,0.4375,Age2
M,0.7,0.565,0.18,WW4,MW4,0.3355,0.446,Age2
M,0.7,0.575,0.19,WW5,MW5,0.418,0.638,Age2
F,0.7,0.525,0.19,WW4,MW4,0.307,0.3995,Age2
F,0.705,0.55,0.17,WW3,MW3,0.236,0.301,Age2
F,0.71,0.56,0.18,WW4,MW3,0.381,0.4525,Age2
M,0.715,0.55,0.19,WW4,MW5,0.407,0.5075,Age2
M,0.715,0.535,0.19,WW4,MW4,0.313,0.42,Age2
F,0.72,0.58,0.195,WW4,MW4,0.48,0.5375,Age2
F,0.72,0.55,0.2,WW4,MW4,0.469,0.5215,Age2
M,0.72,0.565,0.145,WW3,MW3,0.1945,0.2685,Age2
M,0.725,0.505,0.185,WW4,MW4,0.4255,0.4505,Age2
F,0.73,0.575,0.185,WW4,MW4,0.38,0.4825,Age2
M,0.735,0.585,0.185,WW5,MW4,0.55,0.5,Age2
M,0.745,0.565,0.215,WW4,MW4,0.4585,0.5,Age2
F,0.75,0.57,0.21,WW5,MW5,0.5195,0.545,Age2
F,0.755,0.625,0.21,WW6,MW5,0.513,0.6785,Age2
M,0.755,0.58,0.205,WW4,MW4,0.4015,0.595,Age2
F,0.78,0.63,0.215,WW6,MW6,0.4985,0.586,Age2
I,0.185,0.375,0.12,WW2,MW1,0.1045,0.15,Age2
I,0.245,0.205,0.06,WW1,MW1,0.014,0.0215,Age1
I,0.25,0.185,0.065,WW1,MW1,0.014,0.0225,Age2
I,0.25,0.19,0.065,WW1,MW1,0.015,0.025,Age2
I,0.275,0.195,0.09,WW1,MW1,0.0295,0.0355,Age2
I,0.305,0.215,0.065,WW1,MW1,0.0205,0.038,Age2
I,0.31,0.225,0.07,WW1,MW2,0.015,0.04,Age2
I,0.315,0.23,0.08,WW1,MW1,0.031,0.0445,Age2
I,0.315,0.23,0.07,WW1,MW1,0.0235,0.0385,Age2
I,0.325,0.225,0.075,WW1,MW1,0.032,0.09,Age2
I,0.33,0.25,0.095,WW1,MW1,0.0395,0.052,Age2
I,0.33,0.205,0.095,WW1,MW1,0.032,0.0435,Age2
I,0.335,0.245,0.09,WW1,MW1,0.0405,0.048,Age2
I,0.34,0.25,0.09,WW1,MW1,0.033,0.055,Age2
I,0.345,0.255,0.095,WW1,MW1,0.037,0.055,Age2
I,0.345,0.255,0.085,WW1,MW1,0.037,0.05,Age2
I,0.35,0.27,0.075,WW1,MW1,0.036,0.065,Age2
I,0.35,0.255,0.09,WW1,MW1,0.0305,0.0525,Age2
I,0.36,0.27,0.085,WW1,MW1,0.035,0.064,Age1
I,0.365,0.27,0.085,WW1,MW1,0.042,0.058,Age2
I,0.365,0.27,0.085,WW1,MW1,0.0375,0.06,Age2
I,0.365,0.265,0.085,WW1,MW1,0.049,0.06,Age2
I,0.37,0.29,0.09,WW1,MW1,0.0655,0.075,Age2
I,0.37,0.28,0.085,WW1,MW1,0.035,0.062,Age2
I,0.375,0.29,0.095,WW1,MW1,0.041,0.061,Age2
I,0.375,0.29,0.085,WW1,MW1,0.045,0.0695,Age2
I,0.375,0.275,0.09,WW1,MW1,0.0405,0.0755,Age2
I,0.375,0.275,0.095,WW1,MW1,0.0415,0.0775,Age2
I,0.375,0.28,0.08,WW1,MW1,0.048,0.065,Age2
I,0.375,0.27,0.085,WW1,MW1,0.039,0.07,Age2
I,0.38,0.275,0.11,WW1,MW1,0.0535,0.0755,Age2
I,0.38,0.27,0.08,WW1,MW1,0.042,0.07,Age2
I,0.385,0.29,0.09,WW1,MW1,0.0595,0.0745,Age2
I,0.385,0.28,0.085,WW1,MW1,0.038,0.067,Age2
I,0.385,0.3,0.095,WW2,MW1,0.0615,0.0735,Age2
I,0.385,0.28,0.09,WW1,MW1,0.042,0.0655,Age2
I,0.39,0.3,0.095,WW2,MW1,0.0575,0.089,Age2
I,0.395,0.305,0.105,WW1,MW1,0.0595,0.0945,Age2
I,0.395,0.295,0.095,WW1,MW1,0.0625,0.085,Age2
I,0.395,0.27,0.1,WW2,MW1,0.061,0.082,Age2
I,0.4,0.29,0.1,WW1,MW1,0.0605,0.0765,Age2
I,0.405,0.285,0.09,WW1,MW1,0.0505,0.075,Age2
I,0.41,0.335,0.11,WW2,MW1,0.0705,0.17,Age2
I,0.42,0.305,0.09,WW2,MW1,0.0615,0.082,Age2
I,0.425,0.325,0.11,WW2,MW1,0.045,0.1,Age2
I,0.425,0.32,0.1,WW2,MW1,0.06,0.106,Age2
I,0.425,0.31,0.09,WW2,MW1,0.065,0.08,Age2
I,0.43,0.34,0,WW2,MW1,0.086,0.115,Age2
I,0.43,0.315,0.095,WW2,MW1,0.08,0.1045,Age2
I,0.435,0.315,0.11,WW2,MW1,0.0715,0.12,Age2
I,0.44,0.34,0.12,WW2,MW1,0.083,0.12,Age2
I,0.45,0.33,0.105,WW2,MW1,0.089,0.12,Age2
I,0.455,0.345,0.105,WW2,MW1,0.0755,0.126,Age2
F,0.455,0.365,0.115,WW2,MW1,0.108,0.1245,Age2
I,0.455,0.33,0.1,WW2,MW2,0.0775,0.11,Age2
I,0.46,0.36,0.105,WW2,MW1,0.099,0.11,Age2
I,0.46,0.35,0.105,WW2,MW1,0.077,0.114,Age2
F,0.46,0.365,0.125,WW2,MW1,0.1045,0.141,Age2
I,0.465,0.34,0.11,WW2,MW1,0.073,0.113,Age2
I,0.47,0.365,0.1,WW2,MW1,0.0855,0.135,Age2
I,0.47,0.355,0.18,WW2,MW1,0.105,0.1505,Age2
I,0.47,0.355,0.12,WW2,MW1,0.0885,0.115,Age2
I,0.475,0.355,0.1,WW2,MW2,0.091,0.14,Age2
I,0.475,0.38,0.12,WW2,MW1,0.0885,0.1505,Age2
I,0.475,0.36,0.11,WW2,MW1,0.11,0.15,Age2
I,0.48,0.37,0.125,WW2,MW2,0.101,0.165,Age2
I,0.48,0.355,0.115,WW2,MW1,0.112,0.132,Age2
I,0.48,0.365,0.1,WW2,MW1,0.0835,0.135,Age2
I,0.495,0.355,0.12,WW2,MW1,0.1045,0.1495,Age2
I,0.495,0.38,0.13,WW2,MW1,0.116,0.16,Age2
M,0.495,0.395,0.12,WW2,MW1,0.1375,0.167,Age2
I,0.5,0.38,0.135,WW2,MW2,0.104,0.1565,Age2
M,0.5,0.42,0.135,WW2,MW2,0.1415,0.2065,Age2
I,0.5,0.375,0.145,WW2,MW2,0.1375,0.185,Age2
I,0.5,0.41,0.14,WW2,MW2,0.1625,0.196,Age2
I,0.5,0.375,0.125,WW2,MW2,0.124,0.157,Age2
I,0.5,0.395,0.14,WW2,MW2,0.1205,0.195,Age2
I,0.505,0.405,0.13,WW2,MW2,0.11,0.18,Age2
I,0.505,0.38,0.12,WW2,MW2,0.1435,0.18,Age2
I,0.505,0.395,0.105,WW2,MW2,0.103,0.171,Age2
I,0.515,0.38,0.12,WW2,MW2,0.1295,0.16,Age2
I,0.515,0.42,0.135,WW2,MW2,0.144,0.205,Age3
I,0.515,0.4,0.135,WW2,MW2,0.1255,0.175,Age2
I,0.52,0.4,0.13,WW2,MW2,0.1365,0.18,Age2
I,0.52,0.395,0.125,WW2,MW2,0.131,0.1905,Age2
I,0.525,0.4,0.125,WW2,MW2,0.1385,0.164,Age2
M,0.525,0.42,0.155,WW3,MW2,0.1415,0.2045,Age2
I,0.53,0.415,0.13,WW2,MW2,0.111,0.167,Age2
I,0.53,0.42,0.155,WW3,MW2,0.111,0.192,Age2
I,0.53,0.415,0.11,WW2,MW2,0.1235,0.189,Age2
I,0.53,0.425,0.13,WW3,MW2,0.1205,0.21,Age2
I,0.535,0.4,0.135,WW2,MW2,0.121,0.154,Age2
I,0.535,0.415,0.15,WW2,MW2,0.135,0.225,Age2
F,0.535,0.41,0.13,WW2,MW2,0.144,0.2075,Age2
M,0.535,0.435,0.15,WW2,MW2,0.1445,0.194,Age2
F,0.54,0.42,0.145,WW3,MW2,0.163,0.2175,Age2
I,0.54,0.42,0.14,WW3,MW2,0.1445,0.229,Age2
I,0.545,0.435,0.135,WW3,MW2,0.148,0.227,Age2
F,0.545,0.445,0.15,WW3,MW2,0.163,0.207,Age2
I,0.545,0.43,0.15,WW3,MW2,0.1315,0.2545,Age2
I,0.545,0.405,0.135,WW2,MW2,0.1185,0.185,Age2
I,0.55,0.43,0.145,WW3,MW2,0.171,0.223,Age2
F,0.55,0.405,0.125,WW2,MW2,0.137,0.2,Age2
M,0.55,0.43,0.15,WW3,MW2,0.1905,0.248,Age2
I,0.55,0.435,0.14,WW3,MW2,0.1555,0.2325,Age2
I,0.55,0.425,0.135,WW3,MW2,0.1545,0.215,Age2
M,0.555,0.44,0.14,WW3,MW2,0.156,0.255,Age2
I,0.555,0.43,0.155,WW3,MW2,0.1435,0.28,Age2
I,0.555,0.43,0.14,WW3,MW2,0.165,0.23,Age2
I,0.555,0.425,0.145,WW3,MW2,0.1765,0.225,Age2
I,0.56,0.425,0.135,WW3,MW2,0.185,0.236,Age2
I,0.56,0.425,0.145,WW2,MW2,0.1305,0.2165,Age2
F,0.56,0.445,0.155,WW3,MW3,0.3225,0.2695,Age2
I,0.56,0.455,0.145,WW3,MW3,0.1615,0.235,Age2
I,0.565,0.44,0.175,WW3,MW2,0.21,0.21,Age2
F,0.565,0.45,0.145,WW3,MW2,0.1685,0.225,Age2
M,0.565,0.445,0.15,WW3,MW2,0.184,0.219,Age2
M,0.565,0.39,0.125,WW3,MW2,0.13,0.1685,Age2
I,0.57,0.45,0.145,WW3,MW2,0.2195,0.2215,Age2
I,0.57,0.45,0.135,WW3,MW2,0.1415,0.245,Age2
F,0.57,0.46,0.135,WW3,MW2,0.2525,0.2655,Age2
M,0.57,0.435,0.17,WW3,MW2,0.183,0.2705,Age2
I,0.57,0.44,0.13,WW3,MW2,0.1785,0.202,Age2
M,0.57,0.435,0.125,WW3,MW2,0.1835,0.275,Age2
F,0.575,0.42,0.135,WW3,MW2,0.147,0.2125,Age2
F,0.575,0.48,0.165,WW3,MW3,0.2095,0.306,Age2
M,0.575,0.46,0.155,WW3,MW2,0.176,0.22,Age2
M,0.58,0.46,0.155,WW3,MW3,0.273,0.2955,Age2
M,0.58,0.455,0.135,WW3,MW2,0.167,0.204,Age2
F,0.58,0.445,0.15,WW3,MW2,0.156,0.253,Age2
M,0.585,0.465,0.155,WW3,MW2,0.1965,0.235,Age2
M,0.585,0.49,0.185,WW3,MW3,0.2535,0.335,Age2
I,0.585,0.475,0.16,WW3,MW2,0.234,0.285,Age2
M,0.585,0.46,0.165,WW3,MW3,0.2345,0.274,Age2
M,0.585,0.47,0.165,WW3,MW4,0.229,0.295,Age2
M,0.585,0.475,0.15,WW3,MW3,0.199,0.2885,Age2
M,0.585,0.45,0.18,WW3,MW2,0.1855,0.237,Age2
I,0.59,0.445,0.135,WW3,MW2,0.1745,0.23,Age2
M,0.59,0.47,0.18,WW3,MW3,0.227,0.31,Age2
M,0.59,0.455,0.155,WW3,MW2,0.188,0.275,Age2
F,0.595,0.465,0.15,WW3,MW2,0.196,0.2255,Age2
F,0.595,0.465,0.155,WW3,MW2,0.112,0.305,Age2
M,0.6,0.475,0.17,WW3,MW3,0.272,0.309,Age2
M,0.6,0.48,0.155,WW3,MW2,0.1885,0.325,Age2
I,0.6,0.475,0.15,WW3,MW3,0.2465,0.27,Age2
F,0.6,0.465,0.155,WW3,MW2,0.25,0.28,Age2
F,0.6,0.455,0.145,WW3,MW2,0.1715,0.269,Age2
M,0.6,0.46,0.155,WW3,MW2,0.189,0.295,Age2
I,0.605,0.485,0.15,WW3,MW3,0.226,0.33,Age2
M,0.605,0.49,0.14,WW3,MW2,0.206,0.315,Age2
I,0.605,0.435,0.13,WW3,MW2,0.174,0.26,Age2
F,0.605,0.475,0.175,WW3,MW2,0.2195,0.335,Age2
F,0.605,0.47,0.16,WW3,MW3,0.2215,0.275,Age2
M,0.61,0.45,0.15,WW3,MW2,0.1835,0.25,Age2
M,0.61,0.48,0.165,WW3,MW3,0.257,0.305,Age2
M,0.61,0.475,0.17,WW3,MW2,0.2335,0.3035,Age2
I,0.61,0.465,0.15,WW3,MW2,0.1725,0.286,Age2
M,0.61,0.48,0.17,WW3,MW2,0.29,0.347,Age2
M,0.61,0.46,0.16,WW3,MW2,0.197,0.275,Age2
F,0.615,0.475,0.155,WW3,MW2,0.193,0.2895,Age2
M,0.615,0.47,0.165,WW3,MW2,0.2195,0.34,Age2
M,0.615,0.5,0.17,WW3,MW2,0.228,0.295,Age2
F,0.615,0.475,0.165,WW3,MW2,0.1955,0.3035,Age2
M,0.615,0.475,0.17,WW3,MW2,0.302,0.3,Age2
M,0.615,0.48,0.175,WW3,MW2,0.3195,0.3,Age2
F,0.615,0.475,0.155,WW3,MW2,0.2115,0.355,Age2
M,0.62,0.51,0.175,WW3,MW3,0.2385,0.39,Age2
M,0.62,0.495,0.18,WW3,MW3,0.254,0.355,Age2
F,0.62,0.5,0.15,WW3,MW3,0.3135,0.354,Age2
F,0.62,0.475,0.16,WW3,MW2,0.2685,0.33,Age2
M,0.625,0.455,0.17,WW3,MW2,0.2345,0.315,Age2
F,0.625,0.505,0.175,WW3,MW3,0.256,0.3045,Age2
F,0.625,0.515,0.16,WW3,MW3,0.326,0.321,Age2
F,0.625,0.48,0.155,WW3,MW3,0.239,0.3185,Age2
F,0.63,0.485,0.17,WW3,MW3,0.345,0.345,Age2
I,0.63,0.505,0.18,WW3,MW3,0.295,0.315,Age2
M,0.63,0.485,0.145,WW3,MW3,0.1785,0.3365,Age2
I,0.63,0.475,0.145,WW3,MW3,0.2195,0.28,Age2
M,0.63,0.495,0.16,WW3,MW2,0.221,0.315,Age2
M,0.635,0.49,0.16,WW3,MW3,0.1865,0.3455,Age2
F,0.635,0.5,0.165,WW4,MW3,0.2645,0.39,Age2
F,0.635,0.495,0.175,WW3,MW3,0.2725,0.323,Age2
M,0.635,0.475,0.17,WW3,MW3,0.2695,0.3665,Age2
M,0.635,0.51,0.155,WW3,MW2,0.2255,0.31,Age2
M,0.64,0.565,0.23,WW4,MW3,0.372,0.406,Age3
M,0.64,0.525,0.18,WW3,MW2,0.2995,0.4075,Age2
M,0.645,0.51,0.16,WW3,MW3,0.2385,0.345,Age2
M,0.645,0.5,0.195,WW3,MW3,0.3515,0.3725,Age2
M,0.645,0.525,0.16,WW4,MW3,0.245,0.4325,Age2
F,0.65,0.505,0.165,WW3,MW2,0.274,0.349,Age2
F,0.65,0.59,0.22,WW4,MW3,0.378,0.435,Age2
M,0.65,0.525,0.175,WW4,MW3,0.3585,0.405,Age2
M,0.65,0.51,0.19,WW4,MW3,0.3735,0.375,Age2
F,0.65,0.51,0.17,WW4,MW3,0.349,0.391,Age2
F,0.655,0.525,0.19,WW3,MW3,0.3215,0.3985,Age2
M,0.655,0.535,0.205,WW4,MW3,0.3595,0.46,Age3
F,0.655,0.52,0.19,WW4,MW3,0.3865,0.383,Age2
M,0.655,0.49,0.175,WW3,MW3,0.294,0.365,Age2
F,0.66,0.495,0.21,WW4,MW3,0.3525,0.3925,Age2
F,0.66,0.515,0.17,WW3,MW3,0.3125,0.3575,Age2
F,0.665,0.53,0.18,WW4,MW3,0.342,0.435,Age2
F,0.67,0.53,0.225,WW4,MW3,0.487,0.3725,Age2
F,0.67,0.505,0.175,WW3,MW2,0.271,0.3745,Age2
M,0.675,0.545,0.185,WW4,MW4,0.3135,0.469,Age3
M,0.685,0.545,0.205,WW4,MW4,0.416,0.461,Age2
F,0.695,0.565,0.19,WW4,MW3,0.399,0.4975,Age2
F,0.7,0.545,0.13,WW4,MW3,0.374,0.195,Age2
M,0.705,0.565,0.515,WW5,MW5,0.4865,0.512,Age2
M,0.705,0.555,0.215,WW5,MW5,0.383,0.528,Age2
F,0.705,0.57,0.18,WW4,MW4,0.4195,0.43,Age2
F,0.71,0.55,0.17,WW4,MW3,0.345,0.45,Age2
F,0.72,0.575,0.17,WW4,MW4,0.389,0.51,Age3
M,0.72,0.575,0.215,WW5,MW4,0.564,0.5365,Age2
F,0.725,0.6,0.2,WW4,MW3,0.3585,0.595,Age2
F,0.73,0.58,0.19,WW4,MW3,0.4345,0.52,Age2
F,0.735,0.565,0.205,WW5,MW4,0.46,0.565,Age2
F,0.745,0.57,0.215,WW5,MW5,0.446,0.558,Age2
F,0.75,0.61,0.235,WW6,MW5,0.519,0.612,Age3
F,0.815,0.65,0.25,WW5,MW4,0.42,0.7975,Age3
I,0.14,0.105,0.035,WW1,MW1,0.0025,0.004,Age1
I,0.23,0.165,0.06,WW1,MW1,0.0145,0.036,Age1
I,0.365,0.265,0.135,WW1,MW1,0.047,0.0605,Age2
I,0.365,0.255,0.08,WW1,MW1,0.0345,0.053,Age2
I,0.37,0.27,0.095,WW1,MW1,0.041,0.0615,Age2
I,0.375,0.28,0.085,WW2,MW1,0.046,0.067,Age2
I,0.385,0.3,0.09,WW1,MW1,0.044,0.0675,Age2
I,0.395,0.295,0.09,WW2,MW1,0.0665,0.0765,Age2
I,0.4,0.29,0.11,WW2,MW1,0.0455,0.0825,Age2
I,0.4,0.3,0.09,WW1,MW1,0.061,0.08,Age2
I,0.405,0.31,0.095,WW2,MW1,0.064,0.0855,Age2
I,0.405,0.29,0.09,WW1,MW1,0.075,0.0815,Age2
I,0.405,0.3,0.105,WW2,MW1,0.061,0.0805,Age2
I,0.41,0.32,0.095,WW1,MW1,0.063,0.073,Age2
M,0.415,0.315,0.115,WW2,MW1,0.065,0.103,Age2
I,0.425,0.34,0.105,WW2,MW1,0.0905,0.088,Age2
I,0.43,0.34,0.105,WW2,MW2,0.0745,0.1075,Age2
I,0.44,0.34,0.105,WW2,MW1,0.08,0.1015,Age2
M,0.44,0.32,0.12,WW2,MW2,0.092,0.1025,Age2
I,0.44,0.365,0.11,WW2,MW1,0.089,0.1135,Age2
M,0.45,0.335,0.125,WW2,MW1,0.126,0.11,Age2
I,0.455,0.335,0.135,WW2,MW2,0.0995,0.1065,Age2
